company,email,founder_name,job_type,website
CloudSoftSol,careers@cloudsoftsol.com,CloudSoftSol Founder,fullstack,https://cloudsoftsol.com
EuphoriaGenX,careers@euphoriagenx.com,EuphoriaGenX Founder,fullstack,https://euphoriagenx.com
Cybotrix,careers@cybotrix.com,Cybotrix Founder,fullstack,https://cybotrix.com
JobAAj,careers@jobaaj.com,JobAAj Founder,fullstack,https://jobaaj.com
NetworkZ Systems,careers@networkzsystems.com,NetworkZ Founder,fullstack,https://networkzsystems.com
CredoSystemz,careers@credosystemz.com,CredoSystemz Founder,fullstack,https://credosystemz.com
Nucamp,careers@nucamp.co,Nucamp Founder,fullstack,https://nucamp.co
Nareshit,careers@nareshit.com,Nareshit Founder,fullstack,https://nareshit.com
TopStartups,careers@topstartups.io,TopStartups Founder,fullstack,https://topstartups.io
BuiltIn Hyderabad,careers@builtinhyderabad.in,BuiltIn Founder,fullstack,https://builtinhyderabad.in
Frontlines Media,careers@frontlinesmedia.in,Frontlines Founder,fullstack,https://frontlinesmedia.in
Brilliantcomputers,careers@brilliantcomputers.in,Brilliantcomputers Founder,fullstack,https://brilliantcomputers.in
18Startup,careers@18startup.com,18Startup Founder,fullstack,https://18startup.com
ClickitNews,careers@clickitnews.co.in,ClickitNews Founder,fullstack,https://clickitnews.co.in
FounderTrace,careers@foundertrace.com,FounderTrace Founder,fullstack,https://foundertrace.com
TheSaaSNews,careers@thesaasnews.com,TheSaaSNews Founder,fullstack,https://thesaasnews.com
PlanifyIn,careers@planify.in,Planify Founder,fullstack,https://planify.in
WestBridgeCap,careers@westbridgecap.com,WestBridgeCap Founder,fullstack,https://westbridgecap.com
SeedtoScale,careers@seedtoscale.com,SeedtoScale Founder,fullstack,https://seedtoscale.com
